epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,165.917,4.66648,3.78752,1.16031,0,0,0,0,6.01122,3.81452,1.31995,0.0016766,0.0016766,0.0016766
51,169.251,4.76078,3.82448,1.1602,0,0,0,0,6.18241,3.86891,1.43819,0.00167,0.00167,0.00167
52,172.533,4.56355,3.77989,1.13324,0,0,0,0,5.98653,4.54005,1.44506,0.0016634,0.0016634,0.0016634
53,175.886,4.49119,3.79837,1.13767,0,0,0,0,5.7312,4.3998,1.20814,0.0016568,0.0016568,0.0016568
54,179.186,4.64659,3.89549,1.10223,0,0,0,0,5.71201,3.874,1.03293,0.0016502,0.0016502,0.0016502
55,182.516,4.74973,3.84847,1.08166,0,0,0,0,5.37299,2.99715,1.00865,0.0016436,0.0016436,0.0016436
56,186.013,4.63182,3.82422,1.13564,0,0,0,0,5.66695,3.18889,1.07723,0.001637,0.001637,0.001637
57,189.374,4.70311,3.90669,1.12663,0,0,0,0,5.90721,4.0633,1.42338,0.0016304,0.0016304,0.0016304
58,192.911,4.77311,3.81529,1.14243,0,0,0,0,5.99334,4.01517,1.63946,0.0016238,0.0016238,0.0016238
59,196.304,4.70182,3.82411,1.12186,0,0,0,0,5.75117,3.54478,1.19694,0.0016172,0.0016172,0.0016172
60,199.734,4.61189,3.73965,1.10664,0,0,0,0,5.77551,4.67348,1.18934,0.0016106,0.0016106,0.0016106
61,203.374,4.77573,3.79532,1.11704,0,0,0,0,5.9877,3.19452,1.39416,0.001604,0.001604,0.001604
62,207.371,4.71882,3.73424,1.10332,0,0,0,0,5.58394,3.00583,1.23927,0.0015974,0.0015974,0.0015974
63,211.014,4.81749,3.60967,1.13158,0.00022,0.01099,0.00076,8e-05,5.37982,2.99992,1.20262,0.0015908,0.0015908,0.0015908
64,214.962,4.73929,3.72721,1.13579,0.00164,0.08791,0.00708,0.00078,4.86771,2.77537,1.14685,0.0015842,0.0015842,0.0015842
65,218.771,4.74136,3.7324,1.10711,0.00105,0.0989,0.00115,0.00013,4.87169,3.19327,1.11664,0.0015776,0.0015776,0.0015776
66,222.424,4.50369,3.73069,1.11022,0,0,0,0,5.54085,4.10783,0.96595,0.001571,0.001571,0.001571
67,226.183,4.62831,3.64789,1.10445,0,0,0,0,5.24091,3.25697,0.9003,0.0015644,0.0015644,0.0015644
68,229.842,4.58197,3.60645,1.12342,0,0,0,0,5.86513,3.51646,1.13787,0.0015578,0.0015578,0.0015578
69,233.551,4.6327,3.48733,1.09253,0,0,0,0,5.17251,3.77438,0.94138,0.0015512,0.0015512,0.0015512
70,237.168,4.72331,3.50876,1.08331,0,0,0,0,4.99092,3.86457,0.95126,0.0015446,0.0015446,0.0015446
71,240.642,4.52595,3.55826,1.05491,0,0,0,0,4.52645,4.0361,0.92157,0.001538,0.001538,0.001538
72,244.155,4.52248,3.64864,1.1017,0.00044,0.02198,0.00024,2e-05,5.06194,3.62256,0.89718,0.0015314,0.0015314,0.0015314
73,247.673,4.65117,3.67454,1.12694,0.00032,0.02198,0.00019,2e-05,5.51225,3.38396,1.17312,0.0015248,0.0015248,0.0015248
74,251.405,4.62352,3.70969,1.15005,0.00282,0.15385,0.00192,0.0002,4.7578,3.42232,0.97527,0.0015182,0.0015182,0.0015182
75,255.187,4.59179,3.57566,1.07104,0.00059,0.02198,0.00036,4e-05,5.14912,3.2318,0.91595,0.0015116,0.0015116,0.0015116
76,258.96,4.52386,3.66324,1.10172,0.00321,0.14286,0.00207,0.00021,4.86994,3.39922,0.93003,0.001505,0.001505,0.001505
77,262.777,4.67363,3.79255,1.11379,0.00078,0.06593,0.00045,5e-05,4.78528,3.53902,0.86905,0.0014984,0.0014984,0.0014984
78,266.901,4.57734,3.6941,1.1149,0.00485,0.2967,0.00337,0.00079,4.20757,3.48834,0.73548,0.0014918,0.0014918,0.0014918
79,270.572,4.64963,3.68504,1.10321,0.00935,0.3956,0.00677,0.00187,3.74509,3.50673,0.73567,0.0014852,0.0014852,0.0014852
80,274.374,4.62783,3.57192,1.08885,0.00683,0.40659,0.00501,0.00143,3.82493,3.39459,0.79084,0.0014786,0.0014786,0.0014786
81,278.006,4.48509,3.47206,1.0515,0.0065,0.28571,0.00466,0.00066,4.4519,3.14533,0.79266,0.001472,0.001472,0.001472
82,281.647,4.5741,3.48193,1.07301,0.00249,0.07692,0.0016,0.0002,4.98272,2.71369,0.91855,0.0014654,0.0014654,0.0014654
83,285.298,4.57848,3.57356,1.07029,0.00241,0.13187,0.00183,0.00018,4.69409,2.9435,0.7624,0.0014588,0.0014588,0.0014588
84,288.889,4.61271,3.56695,1.10199,0.00156,0.1978,0.00109,0.00022,4.67793,3.71258,0.84835,0.0014522,0.0014522,0.0014522
85,292.449,4.63048,3.55888,1.0704,0.00051,0.05495,0.00027,5e-05,4.8203,3.80701,0.76598,0.0014456,0.0014456,0.0014456
86,296.051,4.54207,3.55537,1.04551,0.00112,0.12088,0.00074,0.00015,5.01175,3.61119,0.86917,0.001439,0.001439,0.001439
