epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1946.6,1.31469,0.92508,1.15209,0.77274,0.69103,0.79048,0.4569,1.44056,1.01754,1.25683,0.0011882,0.0011882,0.0011882
43,1992.68,1.31631,0.91399,1.14956,0.74877,0.69103,0.7882,0.45881,1.43694,1.03803,1.25784,0.0011684,0.0011684,0.0011684
44,2038.78,1.33484,0.93753,1.16182,0.7485,0.68349,0.7766,0.43875,1.50967,1.08081,1.29834,0.0011486,0.0011486,0.0011486
45,2084.83,1.31788,0.92442,1.14719,0.74758,0.70207,0.78176,0.45215,1.45137,1.05825,1.27016,0.0011288,0.0011288,0.0011288
46,2130.7,1.32981,0.93674,1.16263,0.77456,0.70621,0.78994,0.4544,1.49492,1.01401,1.28974,0.001109,0.001109,0.001109
47,2176.8,1.31854,0.91146,1.14968,0.75697,0.70483,0.78665,0.45845,1.44865,1.01273,1.26719,0.0010892,0.0010892,0.0010892
48,2222.7,1.29388,0.92302,1.13625,0.76002,0.70552,0.78359,0.45069,1.4473,1.02085,1.26965,0.0010694,0.0010694,0.0010694
49,2268.61,1.2925,0.88438,1.14352,0.78565,0.70828,0.80091,0.46462,1.43965,0.98985,1.26272,0.0010496,0.0010496,0.0010496
50,2314.82,1.27621,0.88272,1.13457,0.75901,0.71034,0.7977,0.47008,1.41865,0.98359,1.25465,0.0010298,0.0010298,0.0010298
51,2361.1,1.27325,0.84379,1.12925,0.75194,0.73448,0.80021,0.4617,1.45416,0.98777,1.27421,0.00101,0.00101,0.00101
52,2407.59,1.27221,0.89724,1.13119,0.77753,0.68621,0.78485,0.4521,1.48206,1.08091,1.2857,0.0009902,0.0009902,0.0009902
53,2453.78,1.28225,0.87126,1.12223,0.76274,0.71241,0.8001,0.46507,1.45478,1.02635,1.26709,0.0009704,0.0009704,0.0009704
54,2499.71,1.25067,0.8591,1.11941,0.7512,0.72256,0.79453,0.45858,1.45604,0.99034,1.26282,0.0009506,0.0009506,0.0009506
55,2545.68,1.26265,0.86958,1.1306,0.74881,0.72986,0.80482,0.4594,1.47285,0.98717,1.27513,0.0009308,0.0009308,0.0009308
56,2591.98,1.26587,0.85107,1.12542,0.7709,0.71931,0.80648,0.4637,1.43422,0.98286,1.265,0.000911,0.000911,0.000911
57,2638.44,1.25091,0.83754,1.11009,0.7831,0.69931,0.80079,0.46173,1.45245,0.98847,1.26972,0.0008912,0.0008912,0.0008912
58,2684.69,1.25114,0.84806,1.13001,0.73858,0.71703,0.79209,0.46525,1.43431,0.99334,1.26944,0.0008714,0.0008714,0.0008714
59,2730.98,1.25801,0.85682,1.12224,0.78427,0.6869,0.78545,0.46274,1.43505,0.99358,1.26595,0.0008516,0.0008516,0.0008516
60,2777.34,1.25976,0.85925,1.11815,0.78366,0.677,0.79095,0.45434,1.45637,1.02434,1.27609,0.0008318,0.0008318,0.0008318
61,2823.13,1.22022,0.82187,1.10133,0.75826,0.71386,0.79207,0.4679,1.43086,1.02991,1.26417,0.000812,0.000812,0.000812
62,2869.01,1.21679,0.80672,1.0985,0.74677,0.71517,0.79887,0.46828,1.45033,0.99874,1.28879,0.0007922,0.0007922,0.0007922
63,2914.89,1.22296,0.82177,1.11142,0.75405,0.73368,0.80378,0.4744,1.43527,0.95803,1.26019,0.0007724,0.0007724,0.0007724
64,2960.76,1.2184,0.81835,1.1148,0.76179,0.70759,0.79197,0.46395,1.43853,1.01742,1.273,0.0007526,0.0007526,0.0007526
65,3006.85,1.19319,0.78333,1.09448,0.77244,0.70621,0.799,0.46688,1.44914,0.98139,1.2821,0.0007328,0.0007328,0.0007328
66,3052.64,1.20035,0.78305,1.09608,0.73274,0.71852,0.79209,0.46941,1.42637,0.99017,1.27258,0.000713,0.000713,0.000713
67,3098.64,1.19529,0.78158,1.09259,0.77981,0.69793,0.80434,0.47054,1.44322,1.01035,1.27722,0.0006932,0.0006932,0.0006932
68,3144.73,1.20363,0.791,1.09579,0.75074,0.70624,0.78765,0.46217,1.45069,1.00925,1.27561,0.0006734,0.0006734,0.0006734
69,3190.54,1.17495,0.75213,1.08877,0.73671,0.73034,0.79879,0.47113,1.4475,1.0159,1.27182,0.0006536,0.0006536,0.0006536
70,3236.61,1.18121,0.75608,1.09208,0.73109,0.73685,0.80306,0.46913,1.459,1.01111,1.27698,0.0006338,0.0006338,0.0006338
71,3282.33,1.15053,0.7419,1.06908,0.7531,0.71517,0.79678,0.46903,1.48362,0.99248,1.29629,0.000614,0.000614,0.000614
72,3328.27,1.15397,0.75713,1.07605,0.753,0.71862,0.79909,0.4691,1.4763,1.03471,1.28835,0.0005942,0.0005942,0.0005942
73,3373.98,1.15506,0.74812,1.07722,0.75121,0.74138,0.80343,0.47239,1.44856,0.98123,1.277,0.0005744,0.0005744,0.0005744
74,3419.95,1.14062,0.73054,1.06604,0.76155,0.71103,0.79708,0.47256,1.43767,0.97434,1.27025,0.0005546,0.0005546,0.0005546
